E:/sampel/vm-secu//dmp/pid.9784.0x7ff75aad0000.dmp,34404,6,0,0,240,34,523,14,20,117248,67072,0,116880,4096,1.41E+14,4096,512,10,0,10,0,10,0,0,200704,1024,234379,2,49504,524288,32768,1048576,4096,0,16,0
E:/sampel/vm-secu//dmp/pid.984.0x7ff76de20000.dmp,34404,7,0,0,240,34,523,14,20,27648,23040,0,20544,4096,1.41E+14,4096,512,10,0,10,0,10,0,0,69632,1024,106746,2,49504,524288,16384,1048576,4096,0,16,0
E:/sampel/zeus/dmp/pid.216.0x1000000.dmp,332,3,0,0,224,271,267,7,10,35328,8704,0,23494,4096,16777216,4096,512,5,1,5,1,4,0,0,53248,1024,82117,2,32768,262144,4096,1048576,4096,0,16,1
E:/sampel/zeus/dmp/pid.1028.0x1000000.dmp,332,3,0,0,224,271,267,7,10,11264,2048,0,9481,4096,16777216,4096,512,5,1,5,1,4,0,0,24576,1024,40157,2,33792,262144,16384,1048576,4096,0,16,0
E:/sampel/zeus/dmp/pid.1084.0x400000.dmp,332,4,0,0,224,271,267,6,0,278528,184320,0,149036,4096,4194304,4096,4096,4,0,0,0,4,0,0,466944,4096,515769,3,0,1048576,4096,1048576,4096,0,16,0
E:/sampel/zeus/dmp/pid.1088.0x1000000.dmp,332,3,0,0,224,271,267,7,10,11264,2048,0,9481,4096,16777216,4096,512,5,1,5,1,4,0,0,24576,1024,40157,2,33792,262144,16384,1048576,4096,0,16,0
E:/sampel/zeus/dmp/pid.1148.0x1000000.dmp,332,3,0,0,224,271,267,7,10,11264,2048,0,9481,4096,16777216,4096,512,5,1,5,1,4,0,0,24576,1024,40157,2,33792,262144,16384,1048576,4096,0,16,0
E:/sampel/zeus/dmp/pid.1432.0x1000000.dmp,332,3,0,0,224,287,267,7,10,48128,8704,0,25466,4096,16777216,4096,512,5,1,5,1,4,0,0,65536,1024,115721,2,32768,262144,32768,1048576,4096,0,16,1
E:/sampel/zeus/dmp/pid.1668.0x400000.dmp,332,4,0,0,224,259,267,8,0,16384,45056,0,17815,4096,4194304,4096,4096,4,0,0,0,4,0,0,65536,4096,100990,3,0,1048576,4096,1048576,4096,0,16,0
E:/sampel/zeus/dmp/pid.1724.0x1000000.dmp,332,4,0,0,224,270,267,7,10,280576,752128,0,123470,4096,16777216,4096,512,5,1,5,1,4,10,0,1044480,1024,1083401,2,32768,262144,57344,1048576,4096,0,16,1
E:/sampel/zeus/dmp/pid.1732.0x400000.dmp,332,3,0,0,224,271,267,7,10,75264,36864,0,47829,4096,4194304,4096,512,5,1,5,1,4,0,0,122880,1024,147950,2,32768,262144,4096,1048576,4096,0,16,1
E:/sampel/zeus/dmp/pid.1788.0x400000.dmp,332,4,0,0,224,259,267,8,0,102400,77824,0,94301,4096,4194304,4096,4096,4,0,0,0,4,0,0,184320,4096,204776,3,0,1048576,4096,1048576,4096,0,16,0
E:/sampel/zeus/dmp/pid.1968.0x400000.dmp,332,4,0,0,224,271,267,6,0,126976,135168,0,41582,4096,4194304,4096,4096,4,0,0,0,4,0,0,266240,4096,300688,2,0,1048576,4096,1048576,4096,0,16,0
E:/sampel/zeus/dmp/pid.432.0x400000.dmp,332,4,0,0,224,259,267,8,0,8192,122880,0,9322,4096,4194304,4096,4096,4,0,0,0,4,0,0,135168,4096,198780,2,0,1048576,4096,1048576,4096,0,16,0
E:/sampel/zeus/dmp/pid.452.0x400000.dmp,332,4,0,0,224,259,267,8,0,716800,360448,0,654523,4096,4194304,4096,4096,4,0,0,0,4,0,0,1527808,4096,1099702,2,0,1048576,4096,1048576,4096,0,16,0
E:/sampel/zeus/dmp/pid.468.0x400000.dmp,332,3,0,0,224,271,267,7,10,75264,36864,0,47829,4096,4194304,4096,512,5,1,5,1,4,0,0,122880,1024,147950,2,32768,262144,4096,1048576,4096,0,16,1
E:/sampel/zeus/dmp/pid.632.0x1000000.dmp,332,3,0,0,224,287,267,7,10,455680,57344,0,250707,4096,16777216,4096,512,5,1,21315,20512,4,0,0,524288,1024,512549,2,32768,262144,20480,1048576,4096,0,16,1
E:/sampel/zeus/dmp/pid.676.0x1000000.dmp,332,3,0,0,224,287,267,7,10,102400,5120,0,46540,4096,16777216,4096,512,5,1,5,1,4,0,0,114688,1024,128210,2,32768,262144,16384,1048576,4096,0,16,0
E:/sampel/zeus/dmp/pid.688.0x1000000.dmp,332,3,0,0,224,303,267,7,10,4608,7680,0,5309,4096,16777216,4096,512,5,1,5,1,4,0,0,24576,1024,73925,2,32768,262144,24576,1048576,4096,0,16,1
E:/sampel/zeus/dmp/pid.844.0x400000.dmp,332,4,0,0,224,259,267,8,0,192512,163840,0,174801,4096,4194304,4096,4096,4,0,0,0,4,0,0,368640,4096,373444,3,0,1048576,4096,1048576,4096,0,16,0
E:/sampel/zeus/dmp/pid.856.0x1000000.dmp,332,3,0,0,224,271,267,7,10,11264,2048,0,9481,4096,16777216,4096,512,5,1,5,1,4,0,0,24576,1024,40157,2,33792,262144,16384,1048576,4096,0,16,1
E:/sampel/zeus/dmp/pid.888.0x1000000.dmp,332,3,0,0,224,271,267,7,10,10240,2560,0,10226,4096,16777216,4096,512,5,1,5,1,4,0,0,24576,1024,29788,2,32768,262144,4096,1048576,4096,0,16,1
E:/sampel/zeus/dmp/pid.936.0x1000000.dmp,332,3,0,0,224,271,267,7,10,11264,2048,0,9481,4096,16777216,4096,512,5,1,5,1,4,0,0,24576,1024,40157,2,33792,262144,16384,1048576,4096,0,16,0
